,crime,sentenceYears,education,age
319,,,Licenciatura,52
320,Homicidio,25,Secundaria,39
321,Secuestro,,Preparatoria trunca,25
322,Robo,,Preparatoria trunca,43
323,Despojo de inmueble,,Licenciatura,60
324,Violacion,40,Secundaria,61
325,Trata de personas,,Primaria,45
326,Secuestro,,Secundaria,23
327,Secuestro,,Técnica,40
328,Secuestro,,Primaria,38
329,Armas,7,Preparatoria trunca,30
330,Robo,,Secundaria,26
331,Homicidio,54,Preparatoria,27
332,,,Primaria,52
333,Contra la salud,12,Licenciatura trunca,33
334,Contra la salud,,Secundaria,63
335,Homicidio,,Primaria,43
336,Armas,8,Preparatoria,26
337,Trata de personas,,Primaria,54
338,Robo,24,Secundaria,40
339,Robo,,Secundaria,40
340,Secuestro,45,Secundaria,27
341,Trata de personas,,Secundaria,50
342,Armas,12,Secundaria,32
343,Robo,,Preparatoria,38
344,Contra la salud,13,Preparatoria,24
345,Robo,15,Secundaria,33
346,Contra la salud,7,Preparatoria,26
347,Contra la salud,25,Primaria,36
348,,,Secundaria,26
349,Secuestro,5,Preparatoria,22
350,Contra la salud,5,Licenciatura,32
351,Secuestro,25,Secundaria,30
352,Armas,15,Secundaria,33
353,,25,Secundaria,56
354,,,Preparatoria,28
355,Homicidio,15,Secundaria,32
356,Secuestro,,Secundaria,29
357,Secuestro,,Secundaria,31
358,Homicidio,,Secundaria,27
359,Secuestro,25,Preparatoria,28
360,Homicidio,,Secundaria,32
361,Fraude,,Licenciatura trunca,58
362,Contra la salud,3,Secundaria,34
363,Homicidio,25,Secundaria,25
364,Robo,,Secundaria,26
365,Robo,8,Secundaria trunca,31
366,Secuestro,50,Técnica,37
367,Violencia Familiar,,Primaria,41
368,Secuestro,,Secundaria,40
369,Robo,8,Primaria,40
370,Armas,7,Secundaria,29
371,Homicidio,25,Preparatoria técnica,29
372,Homicidio,1,Preparatoria,22
373,privacion de la libertad,,Secundaria,39
374,Secuestro,,Preparatoria,24
375,Robo,17,Licenciatura,42
376,Secuestro,,Secundaria,44
377,Robo,6,Secundaria,25
378,Secuestro,37,Preparatoria,53
379,Homicidio,,Secundaria,29
380,Contra la salud,,Preparatoria,26
381,Homicidio,25,Secundaria,30
382,Secuestro,,Preparatoria,34
383,Violencia Familiar,,Primaria,29
384,Robo,,Secundaria,42
385,Contra la salud,,Primaria,34
386,Secuestro,,Secundaria,24
387,Secuestro,20,Preparatoria,43
388,Violacion,8,Técnica,40
389,Secuestro,,Primaria,42
390,Contra la salud,11,Secundaria,47
391,Robo,,Preparatoria trunca,22
392,Armas,8,Secundaria,41
393,Robo,24,,30
394,Contra la salud,,Preparatoria,32
395,Homicidio,,Secundaria,30
396,Homicidio,5,Secretaria,45
397,Robo,8,Secundaria,24
398,privacion de la libertad,8,Técnica,23
399,Armas,,Preparatoria,32
400,Federal,13,,42
401,Contra la salud,10,Técnica,55
402,Contra la salud,10,Primaria,45
403,Homicidio,6,Primaria,31
404,Secuestro,,Licenciatura,40
405,Fraude,,Licenciatura trunca,60
406,Secuestro,,Secundaria,47
407,privacion de la libertad,0,Secundaria,25
408,Robo,,Secundaria,25
409,Homicidio,6,Licenciatura,32
410,Robo,8,Preparatoria,25
411,Homicidio,18,Secundaria,51
412,Fraude,5,Licenciatura,42
413,Homicidio,50,Preparatoria,53
414,Violacion,0,Primaria,47
415,Homicidio,,Secundaria trunca,35
416,Robo,6,Técnica,42
417,Contra la salud,,Preparatoria,31
418,Homicidio,25,Secundaria,28
419,Trata de personas,,Primaria trunca,58
420,Homicidio,,Secundaria trunca,23
421,Secuestro,,Primaria,39
422,Fraude,,Preparatoria,34
423,Homicidio,25,Comercial,60
424,Robo,10,Primaria,20
425,Secuestro,,Primaria,49
426,Contra la salud,2,Secundaria,42
427,Secuestro,,Secundaria,38
428,Homicidio,,Primaria,22
429,Secuestro,,Secundaria,39
430,Homicidio,,Primaria,19
431,Homicidio,6,Licenciatura,47
432,Armas,6,Secundaria,22
433,Robo,,Primaria,38
434,Secuestro,,Secundaria,40
435,Contra la salud,2,Primaria,53
436,Trata de personas,12,Secundaria,47
437,Armas,,Preparatoria,35
438,Robo,,No tiene,20
439,Homicidio,17,Secundaria,45
440,Armas,3,Secundaria,26
441,Secuestro,20,Secundaria,28
442,Homicidio,15,Técnica,52
443,Homicidio,6,Licenciatura,47
444,Contra la salud,,Primaria,48
445,privacion de la libertad,,Secundaria,
446,Contra la salud,,Licenciatura trunca,23
447,Fraude,,Técnica,46
448,Secuestro,8,Secundaria,34
449,Robo,,Licenciatura,38
450,Contra la salud,,Secundaria,26
451,Secuestro,,Licenciatura,32
452,Narcomenudeo,,Licenciatura,34
453,Dano en propiedad ajena,,Primaria,45
454,Armas,6,Secundaria,37
455,Homicidio,,Primaria,23
456,Fraude,16,Preparatoria,59
457,Contra la salud,7,Primaria,24
458,Secuestro,,Secundaria,34
459,Armas,10,Secundaria,32
460,Armas,8,Preparatoria,29
461,Chantaje,12,Preparatoria,30
462,Homicidio,15,Preparatoria,44
463,Homicidio,,Secundaria,37
464,Armas,21,Secundaria,27
465,Homicidio,25,Secundaria,38
466,Contra la salud,,Primaria,25
467,Trata de personas,,Secundaria,27
468,Armas,,Secundaria,29
469,Armas,28,Licenciatura,35
470,Secuestro,26,Secundaria trunca,41
471,Homicidio,33,Comercial,54
472,Drogas,10,Secundaria,20
473,Homicidio,,Secundaria,35
474,privacion de la libertad,,Secundaria,28
475,Contra la salud,,Secundaria,29
476,Robo,,Primaria,20
477,Secuestro,90,Preparatoria,35
478,Armas,,Preparatoria trunca,25
479,Robo,8,Secundaria,39
480,Secuestro,,Secundaria,29
481,Armas,8,Secundaria,30
482,Secuestro,,Preparatoria trunca,39
483,Homicidio,6,Secundaria,38
